UF,Codigo SIAFI Municipio,Nome Municipio,Valor Parcela
AP,605,MACAPA,12400
MA,921,SAO LUIS,8500
BA,3435,CANSANCAO,8700
PI,1153,PARNAIBA,8500
ES,5703,VILA VELHA,16300
PA,427,BELEM,16300
AM,255,MANAUS,20200
BA,3711,MARACAS,17600
MA,1285,SANTA LUZIA DO PARUA,12400
MT,9871,PRIMAVERA DO LESTE,4600
SP,7107,SAO PAULO,12400
AM,281,TEFE,41500
BA,3573,ILHEUS,3900
BA,3849,SALVADOR,3900
AM,9847,TABATINGA,12400
MG,5141,SALTO DA DIVISA,8500
BA,3613,ITAMARAJU,12400
MG,4827,MEDINA,25700
PA,433,BRAGANCA,48100
PE,2627,VITORIA DE SANTO ANTAO,15500
PI,1153,PARNAIBA,3900
PA,561,TUCURUI,20900
BA,3515,FEIRA DE SANTANA,8500
CE,1585,MARACANAU,20200
BA,3653,JAGUAQUARA,8500
BA,3581,IPIRA,29400
PR,7443,BALSA NOVA,9700
RJ,5909,SAQUAREMA,12400
RJ,2913,JAPERI,13100
PE,2491,OLINDA,24800
PB,1975,CAJAZEIRAS,51200
PA,483,MARABA,16300
RN,1823,SANTA CRUZ,8500
ES,5641,ECOPORANGA,21800
PI,1199,SAO JOAO DO PIAUI,8700
AP,605,MACAPA,20900
MS,9063,CORUMBA,11700
SC,8267,PORTO UNIAO,7800
BA,3597,ITABUNA,16200
PI,1037,BOM JESUS,32500
RS,8919,SOLEDADE,19300
MA,869,PINHEIRO,42100
PA,427,BELEM,28000
BA,3579,IPIAU,20900
MG,5091,RIBEIRAO DAS NEVES,30100
MG,5091,RIBEIRAO DAS NEVES,28700
MA,869,PINHEIRO,43400
CE,1555,SENADOR POMPEU,29400
PB,2051,JOAO PESSOA,24800
DF,9701,BRASILIA,13100
BA,3845,RUY BARBOSA,23900
BA,3515,FEIRA DE SANTANA,17100
MA,869,PINHEIRO,7800
MG,4431,DIAMANTINA,16300
DF,9701,BRASILIA,14600
PA,561,TUCURUI,14500
SP,6377,DIADEMA,34200
AL,2785,MACEIO,16300
CE,1411,IGUATU,15500
GO,9473,MORRINHOS,14000
SP,7107,SAO PAULO,12400
PA,401,ABAETETUBA,24700
PB,2079,MAMANGUAPE,12400
GO,9573,RUBIATABA,12400
PE,2531,RECIFE,8500
PB,2051,JOAO PESSOA,8500
RJ,2913,JAPERI,25400
PB,2027,GUARABIRA,20900
PI,1043,CAMPO MAIOR,25000
MG,4961,PATROCINIO,17100
PA,433,BRAGANCA,50500
MA,861,PEDREIRAS,24400
MA,891,ROSARIO,16300
MA,921,SAO LUIS,13100
PE,2531,RECIFE,3900
PE,2475,LAJEDO,16900
PA,535,SANTAREM,22700
CE,1493,PACAJUS,8700
PE,2323,ARCOVERDE,17000
PA,427,BELEM,12400
SP,6493,IBITINGA,20200
SP,7107,SAO PAULO,3900
BA,3863,SANTA MARIA DA VITORIA,34100
BA,3391,BRUMADO,23400
PA,523,SALINOPOLIS,13100
RN,1787,PAU DOS FERROS,22500
PI,1223,URUCUI,24100
BA,3849,SALVADOR,3900
BA,3515,FEIRA DE SANTANA,3900
CE,1389,FORTALEZA,34100
MA,869,PINHEIRO,8500
AL,2705,ARAPIRACA,25600
MG,4865,MONTES CLAROS,3900
PE,2531,RECIFE,12400
RJ,5849,MAGE,46300
RJ,5893,SANTO ANTONIO DE PADUA,13100
CE,1383,CRATEUS,16300
AP,605,MACAPA,17000
GO,9227,APARECIDA DE GOIANIA,16300
CE,1569,TIANGUA,20800
BA,3661,JEQUIE,8500
PI,1057,CORRENTE,26600
PE,2531,RECIFE,8500
AL,2887,VICOSA,12400
RJ,5865,NITEROI,8700
